Country name,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,,,,,,,,,,,
Country,N,%R,Resistant,N,%R,Resistant,N,%R,Resistant,N,%R,Resistant,,,country,y_2012,y_2013,y_2014,y_2015,,,,
Iceland,10,10,1,11,0,0,11,9.1,1.001,11,0,0,Austria,AT,AT (<),18.2,13.3,11.8,11.9,-8.2,-13.3,-2.7,-11.9
Luxembourg,31,16.1,4.991,34,11.8,4.012,37,10.8,3.996,27,0,0,Belgium,BE,BE,9.6,13.2,9.5,8,6.5,-1.4,1.3,-8
Denmark,389,4.6,17.894,414,2.4,9.936,388,4.4,17.072,441,4.1,18.081,Bulgaria,BG,BG,26,13.6,31.3,27.3,-21.4,-11.2,-26.9,-23.2
Cyprus,50,10,5,47,8.5,3.995,42,16.7,7.014,43,4.7,2.021,Croatia,HR,HR,24.2,23.6,24.5,24.5,-14.2,-15.1,-7.8,-19.8
Norway,198,7.1,14.058,198,9.1,18.018,254,7.9,20.066,227,5.7,12.939,Cyprus,CY,CY,10,8.5,16.7,4.7,-2.9,0.6,-8.8,1
Sweden,271,5.9,15.989,531,7.3,38.763,337,4.7,15.839,399,5.8,23.142,Czech Rep,CZ,CZ,26.4,27.5,23.1,25.3,-20.5,-20.2,-18.4,-19.5
Estonia,31,16.1,4.991,17,11.8,2.006,39,10.3,4.017,16,6.3,1.008,Denmark,DK,DK,4.6,2.4,4.4,4.1,11.5,9.4,5.9,2.2
Netherlands,386,5.2,20.072,381,6.6,25.146,530,8.1,42.93,494,6.5,32.11,Estonia,EE,EE,16.1,11.8,10.3,6.3,-10.9,-5.2,-2.2,0.2
Finland,314,7.6,23.864,327,8.6,28.122,306,6.9,21.114,333,7.2,23.976,Finland,FI,FI,7.6,8.6,6.9,7.2,0,0,0,0
Belgium,342,9.6,32.832,431,13.2,56.892,294,9.5,27.93,251,8,20.08,France,FR,FR (<*),19.9,15.4,17,16.1,-10.3,-2.2,-7.5,-8.1
Spain,835,6.7,55.945,818,8.6,70.348,870,7.8,67.86,871,9.1,79.261,Germany,DE,DE,15.5,18.8,17.4,17.7,-8.8,-10.2,-9.6,-8.6
Ireland,216,16.2,34.992,202,11.4,23.028,178,11.2,19.936,195,9.2,17.94,Greece,EL,EL (<),34.3,29.9,31.4,22.3,-18.1,-18.5,-20.2,-13.1
Slovenia,134,7.5,10.05,133,13.5,17.955,112,25.9,29.008,141,9.9,13.959,Hungary,HU,HU (>),19.2,19.8,23.5,26.9,-11.7,-6.3,2.4,-17
