Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,4.5,5.3,4.7,4.7,4.7,5.1,4.7,4.2,3.3,3.5,-2.9%,,,
Belgium,11.5,9.9,9.9,10.1,10.2,9.7,10.1,9.8,7.0,7.5,-4.6%,,,
Bulgaria,5.3,5.7,5.6,5.5,4.7,5.4,5.5,5.4,4.7,4.8,-1.1%,,,
Croatia,7.7,7.8,8.0,8.1,7.9,7.8,7.8,7.9,6.2,6.9,-1.3%,,,
Cyprus,,,,,,,,,,,N/A,,,
Czechia,5.2,6.1,6.1,6.3,,,,,,3.8,N/A,,,
Denmark,9.5,9.8,9.7,9.9,9.8,9.5,9.2,8.9,8.1,8.2,-1.6%,,,
Estonia,3.1,3.1,3.2,3.3,3.4,3.5,3.7,3.7,3.2,3.2,0.4%,,,
Finland,5.0,4.8,5.0,4.9,4.8,4.4,4.4,4.3,3.1,3.0,-5.6%,,,
France,11.7,12.4,12.2,12.7,13.3,13.0,13.3,13.3,10.1,11.0,-0.7%,,,
Germany,3.3,3.5,3.4,3.3,3.4,3.8,3.7,4.0,3.1,2.8,-1.7%,,,
Greece,8.6,8.4,8.0,9.8,10.9,10.8,11.1,11.0,8.7,7.4,-1.6%,,,
Hungary,4.6,4.7,4.6,4.8,4.4,4.5,4.6,4.6,3.2,3.3,-3.7%,,,
Iceland,,,8.3,8.3,8.9,9.1,9.1,8.5,7.0,7.5,-1.4%,,,
Ireland,9.0,9.5,9.7,11.3,10.3,9.5,9.7,10.0,7.4,7.2,-2.5%,,,
Italy,10.3,10.8,10.5,10.4,10.3,8.8,8.9,9.2,7.4,7.1,-4.0%,,,
Latvia,4.2,4.4,4.1,4.4,4.3,4.7,4.4,4.6,3.6,3.5,-1.8%,,,
Lithuania,6.2,7.2,6.1,6.5,6.5,6.7,6.5,6.3,4.9,5.5,-1.4%,,,
Luxembourg,9.2,9.2,8.6,9.0,8.4,6.8,8.5,8.3,6.0,6.0,N/A,,,
Malta,6.0,6.4,6.5,5.8,5.9,7.3,6.1,6.7,5.2,5.5,-1.0%,,,
Netherlands,3.2,3.2,3.1,3.1,3.1,2.9,2.9,2.8,2.4,2.4,-3.3%,,,
Norway,6.4,6.2,6.1,6.1,5.8,5.6,5.5,5.7,4.8,4.9,-3.1%,,,
Poland,6.2,6.4,6.0,7.1,6.8,6.6,6.8,6.4,4.4,5.2,-1.9%,,,
Portugal,8.4,7.6,7.9,8.3,8.6,8.7,9.2,9.1,6.7,6.6,-2.7%,,,
Romania,,,,,,,,11.3,10.5,10.6,N/A,,,
Slovakia,5.8,6.5,6.2,6.4,6.0,5.1,5.0,4.8,3.3,3.3,-6.1%,,,
Slovenia,7.1,7.2,6.9,7.0,6.8,6.9,6.9,6.7,4.7,4.6,-4.8%,,,
Spain,8.3,8.6,9.4,9.8,14.8,14.2,13.8,13.2,9.9,9.9,N/A,,,
Sweden,6.6,6.3,6.4,6.0,6.0,5.9,5.7,5.5,4.5,4.4,-4.5%,,,
EU/EEA* ,7.7,7.9,7.8,8.1,8.6,8.3,8.3,8.3,6.4,6.5,-1.8%,,,
United Kingdom,7.0,6.9,7.0,6.7,6.6,6.4,6.2,5.8,,,N/A,,,
Crude EU/EEA**,7.4,7.6,7.5,7.7,8.3,8.0,8.0,8.0,6.5,6.5,N/A,,,
