Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,1.58,1.95,1.48,1.44,1.41,1.51,1.40,1.27,0.96,1.04,-4.6%,,,
Belgium,1.53,1.53,1.42,1.44,1.32,1.17,1.25,1.20,0.80,0.80,-7.0%,,,
Bulgaria,2.44,2.80,3.38,3.90,3.84,4.11,4.48,4.28,3.97,4.54,7.2%,,,
Croatia,3.53,2.99,2.81,2.74,2.49,2.47,2.52,2.55,2.09,2.36,-4.4%,,,
Cyprus,,,,,,,,,,,N/A,,,
Czechia,1.43,1.74,2.02,2.21,,,,,,1.44,N/A,,,
Denmark,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,-2.4%,,,
Estonia,0.99,1.10,1.14,1.22,1.16,1.18,1.18,1.19,1.02,0.93,-0.8%,,,
Finland,2.30,2.28,2.25,2.10,2.05,1.94,1.92,1.78,1.50,1.42,-5.2%,,,
France,2.39,2.25,2.05,2.12,1.94,1.60,1.40,1.28,0.88,0.89,-10.4%,,,
Germany,2.82,3.22,3.01,3.11,3.03,2.81,2.49,2.36,1.68,1.44,-7.2%,,,
Greece,6.56,7.40,7.29,7.53,7.43,7.70,7.88,7.59,5.76,4.38,-4.4%,,,
Hungary,1.77,1.81,1.87,1.98,2.06,2.10,2.13,2.06,1.38,1.31,-3.3%,,,
Iceland,,,0.47,0.46,0.51,0.62,0.58,0.55,0.49,0.55,2.1%,,,
Ireland,1.24,1.36,1.10,1.16,1.17,1.08,1.14,1.17,0.96,0.94,-3.0%,,,
Italy,2.36,2.48,2.34,2.33,2.26,1.94,2.05,2.27,1.68,1.63,-4.0%,,,
Latvia,0.47,0.52,0.48,0.52,0.57,0.66,0.61,0.62,0.41,0.40,-1.7%,,,
Lithuania,0.92,1.21,1.07,1.16,1.23,1.29,1.33,1.34,1.18,1.22,3.1%,,,
Luxembourg,3.62,3.80,3.39,3.46,3.38,2.36,2.88,2.75,1.75,1.61,N/A,,,
Malta,5.27,5.52,4.57,4.11,3.57,3.12,2.63,2.86,2.00,1.45,-13.3%,,,
Netherlands,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,-2.4%,,,
Norway,0.11,0.11,0.09,0.08,0.07,0.06,0.06,0.05,0.05,0.05,-8.7%,,,
Poland,2.20,2.50,2.37,2.87,2.75,3.99,3.01,3.51,2.32,2.26,0.3%,,,
Portugal,1.55,1.43,1.44,1.56,1.54,1.64,1.62,1.64,1.36,1.45,-0.7%,,,
Romania,,,,,,,,4.58,3.86,3.93,N/A,,,
Slovakia,3.49,4.51,4.37,4.71,4.62,4.58,6.21,4.86,3.30,3.52,0.1%,,,
Slovenia,0.30,0.30,0.28,0.31,0.33,0.37,0.32,0.39,0.40,0.47,5.0%,,,
Spain,1.44†,1.57†,1.64†,1.64†,2.24,2.27,2.36,2.36,1.92,1.98,N/A,,,
Sweden,0.18,0.16,0.15,0.14,0.14,0.08,0.07,0.06,0.05,0.05,-12.5%,,,
EU/EEA* ,2.24,2.42,2.35,2.44,2.42,2.40,2.29,2.26,1.68,1.60,-3.7%,,,
United Kingdom,0.35,0.34,0.32,0.28,0.25,0.24,0.22,0.21,,,N/A,,,
Crude EU/EEA**,1.91,2.05,1.96,2.03,2.02,1.99,1.88,1.98,1.67,1.60,N/A,,,
