Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,
Austria,3.19,3.59,3.04,3.06,2.74,2.81,2.25,2.04,1.42,1.39,-8.8%,,
Belgium,3.40,3.34,3.40,3.63,3.62,3.41,3.56,3.50,2.65,2.65,-2.7%,,
Bulgaria,3.16,3.44,3.93,3.87,3.67,3.82,4.00,4.01,5.72,5.50,6.4%,,
Croatia,2.97,2.80,2.91,3.10,2.71,2.75,2.83,2.79,2.44,3.05,0.3%,,
Cyprus,,,,,,,,,,,N/A,,
Czechia,3.48,3.74,3.81,3.98,,,,,,2.54,N/A,,
Denmark,2.25,1.84,1.84,1.84,1.80,1.62,1.47,1.43,1.20,1.17,-7.0%,,
Estonia,2.46,2.48,2.40,2.45,2.27,2.26,2.32,2.33,1.80,1.74,-3.7%,,
Finland,1.55,1.28,1.17,1.03,0.91,0.75,0.70,0.63,0.43,0.39,-14.4%,,
France,3.70,3.50,3.01,3.23,2.97,3.04,2.89,2.81,2.34,2.37,-4.8%,,
Germany,2.68,2.80,2.48,2.40,2.27,2.14,1.94,1.83,1.31,1.15,-9.0%,,
Greece,7.81,7.22,7.88,7.50,6.07,6.98,6.36,6.60,5.06,3.62,-8.2%,,
Hungary,2.73,2.82,3.13,3.30,2.82,2.80,2.83,2.79,2.24,2.91,0.7%,,
Iceland,,,1.57,1.70,1.71,1.63,1.60,1.42,1.14,1.13,-4.6%,,
Ireland,4.16,4.38,4.15,4.20,4.38,4.19,4.04,3.86,2.93,2.51,-5.5%,,
Italy,4.68,4.80,4.66,4.61,4.34,3.75,3.87,4.06,3.56,3.30,-3.8%,,
Latvia,1.53,1.73,1.61,1.83,1.81,1.97,2.05,2.13,1.65,1.65,0.9%,,
Lithuania,1.89,2.38,1.87,1.92,1.97,2.07,2.11,2.11,1.67,1.49,-2.6%,,
Luxembourg,4.02,3.95,3.66,3.64,3.85,5.50,3.46,3.29,2.47,2.38,N/A,,
Malta,3.70,3.96,3.77,4.00,3.91,4.46,4.38,4.24,2.45,2.38,-4.8%,,
Netherlands,1.50,1.39,1.35,1.39,1.37,1.38,1.45,1.45,1.36,1.31,-1.5%,,
Norway,2.00,1.69,1.47,1.31,1.15,1.01,0.89,0.87,0.65,0.58,-12.9%,,
Poland,3.53,3.88,3.79,4.60,4.19,4.46,6.01,3.92,2.76,3.66,0.4%,,
Portugal,3.21,2.75,2.79,3.06,3.09,2.44,2.68,3.12,2.03,1.91,-5.6%,,
Romania,,,,,,,,3.09,4.53,4.70,N/A,,
Slovakia,4.91,5.89,5.56,6.20,5.44,4.68,4.72,4.58,3.30,4.30,-1.5%,,
Slovenia,1.79,1.78,1.76,1.85,1.59,1.68,1.78,1.73,1.34,1.26,-3.8%,,
Spain,1.88†,1.94†,2.04†,2.25†,3.19,3.07,3.05,2.81,2.05,2.08,N/A,,
Sweden,0.63,0.62,0.61,0.60,0.54,0.54,0.50,0.52,0.50,0.46,-3.4%,,
EU/EEA* ,3.20,3.24,3.11,3.24,3.11,3.02,3.10,2.88,2.39,2.38,-3.2%,,
United Kingdom,3.10,3.20,3.24,3.10,3.02,2.90,2.64,2.51,,,N/A,,
Crude EU/EEA**,3.21,3.26,3.14,3.23,3.10,2.99,3.02,2.82,2.38,2.38,N/A,,
