Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,
Austria,1.30,1.47,1.30,1.31,1.20,1.23,1.04,0.73,0.57,0.52,-9.7%,,
Belgium,2.77,2.64,2.55,2.57,2.40,2.17,1.16,0.57,0.46,0.45,-18.4%,,
Bulgaria,2.40,2.52,2.87,2.83,2.78,2.86,2.83,2.76,3.35,3.92,5.6%,,
Croatia,1.49,1.47,1.50,1.50,1.49,1.50,1.48,1.36,1.22,1.44,-0.4%,,
Cyprus,,,,,,,,,,,N/A,,
Czechia,1.03,0.85,0.88,0.88,,,,,,0.48,N/A,,
Denmark,0.55,0.52,0.50,0.49,0.48,0.44,0.41,0.37,0.33,0.32,-6.0%,,
Estonia,0.85,0.89,0.90,0.92,0.85,0.79,0.75,0.65,0.72,0.59,-3.9%,,
Finland,0.89,0.84,0.82,0.73,0.74,0.67,0.62,0.47,0.39,0.36,-9.4%,,
France,1.92,1.84,1.75,1.60,1.51,1.37,1.30,1.21,1.09,0.99,-7.1%,,
Germany,1.45,1.42,1.34,1.33,1.24,1.11,0.96,0.63,0.49,0.43,-12.5%,,
Greece,2.36,2.06,2.56,2.64,2.61,2.60,2.94,3.04,2.61,2.16,-1.0%,,
Hungary,1.97,2.11,2.43,2.71,2.38,2.40,2.31,1.93,1.41,1.42,-3.5%,,
Iceland,,,0.88,0.92,0.92,0.82,0.83,0.57,0.49,0.45,-9.2%,,
Ireland,0.87,0.87,0.84,0.92,0.87,0.81,0.76,0.55,0.42,0.38,-9.0%,,
Italy,3.48,3.55,3.41,3.37,3.23,2.68,2.65,1.99,1.67,1.62,-8.2%,,
Latvia,1.03,1.05,1.05,1.05,1.05,1.03,0.94,0.85,0.77,0.71,-4.1%,,
Lithuania,1.00,0.96,0.91,0.91,0.88,0.87,0.88,0.82,0.73,0.66,-4.6%,,
Luxembourg,2.77,2.65,2.57,2.48,2.41,2.77,2.05,1.57,1.27,1.26,N/A,,
Malta,2.01,2.92,3.06,2.64,2.37,2.18,2.27,1.89,1.36,1.31,-4.6%,,
Netherlands,0.81,0.76,0.79,0.77,0.75,0.73,0.73,0.67,0.64,0.64,-2.6%,,
Norway,0.56,0.54,0.50,0.46,0.41,0.35,0.32,0.28,0.24,0.22,-10.0%,,
Poland,1.19,1.18,1.21,1.40,1.42,1.49,1.48,1.35,1.15,1.27,0.7%,,
Portugal,2.47,2.18,2.12,2.05,1.92,1.75,1.71,1.54,1.21,1.17,-8.0%,,
Romania,,,,,,,,3.12,2.96,3.17,N/A,,
Slovakia,1.95,2.18,0.63,2.40,2.26,2.12,2.07,1.47,1.14,1.17,-5.6%,,
Slovenia,1.08,1.10,1.11,1.16,1.14,1.11,1.11,0.99,0.84,0.85,-2.6%,,
Spain,2.46†,2.36†,2.31†,2.35†,2.90,2.82,2.71,2.30,1.78,1.72,N/A,,
Sweden,0.75,0.71,0.69,0.68,0.66,0.63,0.61,0.56,0.49,0.49,-4.7%,,
EU/EEA* ,1.98,1.96,1.92,1.93,1.88,1.76,1.68,1.40,1.20,1.16,-0.1%,,
United Kingdom,0.42,0.49,0.48,0.46,0.44,0.45,0.44,0.39,,,N/A,,
Crude EU/EEA**,1.72,1.70,1.65,1.66,1.66,1.54,1.46,1.27,1.20,1.16,N/A,,
