Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,
Austria,0.22,0.23,0.20,0.19,0.20,0.22,0.20,0.22,0.22,0.23,0.6%,,
Belgium,,0.27,0.18,0.21,0.20,0.19,0.21,0.21,0.22,0.24,-1.6%,,
Bulgaria,0.82,0.83,0.84,0.79,0.78,0.85,0.86,0.78,0.64,0.65,-2.6%,,
Croatia,0.67,0.67,0.65,0.63,0.59,0.55,0.50,0.49,0.44,0.48,-3.7%,,
Cyprus,,,,,,,,,,,N/A,,
Czechia,0.74,0.81,0.78,0.88,,,,,,0.66,N/A,,
Denmark,0.77,0.75,0.76,0.73,0.72,0.71,0.67,0.58,0.54,0.52,-4.3%,,
Estonia,0.39,0.40,0.38,0.43,0.40,0.42,0.44,0.41,0.29,0.32,-2.2%,,
Finland,1.41,1.35,1.31,1.25,1.11,1.03,0.98,1.07,0.95,0.94,-4.4%,,
France,0.44,0.27,0.48,0.41,0.41,0.41,0.41,0.43,0.46,0.51,1.5%,,
Germany,0.55,0.53,0.50,0.47,0.46,0.46,0.43,0.51,0.44,0.49,-1.4%,,
Greece,0.32,0.32,0.34,0.41,0.37,0.32,0.30,0.33,0.44,0.32,-0.1%,,
Hungary,0.53,0.53,0.50,0.51,0.48,0.44,0.44,0.44,0.38,0.38,-3.7%,,
Iceland,,,0.69,0.54,0.50,0.49,0.55,0.55,0.52,0.53,-3.7%,,
Ireland,1.16,0.98,1.00,1.04,1.10,0.88,1.02,1.00,1.04,0.94,-2.3%,,
Italy,0.36,0.35,0.34,0.34,0.37,0.66,0.73,0.88,0.83,0.83,9.8%,,
Latvia,0.95,0.97,0.85,0.84,0.81,0.82,0.74,0.78,0.51,0.42,-8.6%,,
Lithuania,0.37,0.39,0.36,0.36,0.80,0.81,0.75,0.52,0.52,0.20,-6.2%,,
Luxembourg,0.32,0.32,0.31,0.28,0.27,0.57,0.27,0.31,0.32,0.32,N/A,,
Malta,0.20,0.19,0.27,0.24,0.26,0.38,0.32,0.41,0.30,0.46,9.8%,,
Netherlands,0.52,0.47,0.44,0.43,0.42,0.42,0.43,0.46,0.45,0.45,-1.6%,,
Norway,0.68,0.67,0.68,0.67,0.66,0.65,0.68,0.72,0.70,0.70,0.4%,,
Poland,1.50,0.57,0.54,0.58,0.56,0.48,0.53,0.52,0.42,0.24,-18.3%,,
Portugal,0.53,0.44,0.44,0.43,0.42,0.41,0.35,0.37,0.35,0.39,-3.3%,,
Romania,,,,,,,,0.82,0.72,0.72,N/A,,
Slovakia,0.34,0.38,0.41,0.45,1.19,0.38,0.38,0.46,0.41,0.45,3.2%,,
Slovenia,0.94,0.90,0.82,0.79,0.74,0.68,0.70,0.63,0.53,0.53,-6.2%,,
Spain,0.26†,0.27†,0.27†,0.27†,0.26,0.42,0.43,0.44,0.43,0.46,N/A,,
Sweden,0.44,0.42,0.40,0.40,0.38,0.27,0.28,0.28,0.27,0.27,-5.4%,,
EU/EEA* ,0.57,0.47,0.48,0.47,0.47,0.51,0.52,0.55,0.51,0.51,-1.3%,,
United Kingdom,1.33,1.48,1.49,1.32,1.22,1.04,0.84,0.76,,,N/A,,
Crude EU/EEA**,0.66,0.58,0.60,0.57,0.55,0.56,0.54,0.57,0.51,0.51,N/A,,
