Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,,,,,,,,0.69,0.64,0.62,N/A,,,
Belgium,0.79,0.75,0.74,0.76,0.75,0.74,0.76,0.74,0.64,0.64,-2.3%,,,
Bulgaria,0.11,0.10,0.11,0.10,0.10,0.10,0.11,0.12,0.13,0.12,1.1%,,,
Croatia,0.50,0.44,0.45,0.46,0.45,0.45,0.47,0.50,0.39,0.47,-0.7%,,,
Czechia,,,,,,,,,,0.88,N/A,,,
Denmark,0.80,0.94,0.99,1.00,1.00,1.00,1.07,1.00,0.98,1.06,3.2%,,,
Estonia,0.46,0.45,0.44,0.46,0.49,0.51,0.55,0.54,0.58,0.53,1.5%,,,
Finland (a),0.41,0.54,0.54,0.52,0.54,0.55,0.55,0.60,0.54,0.53,2.7%,,,
France,0.85,0.85,0.86,0.87,0.86,0.84,0.83,0.84,0.71,0.74,-1.5%,,,
Greece,0.32,0.50,0.51,0.55,0.80,0.78,0.29,0.30,0.30,0.33,0.4%,,,
Hungary,0.32,0.31,0.32,0.28,0.29,0.29,0.27,0.27,0.23,0.22,-4.0%,,,
Iceland,,,,,,0.65,0.63,0.54,0.41,0.45,N/A,,,
Ireland,0.73,0.69,0.58,0.80,0.78,0.76,0.85,0.87,0.68,0.72,-0.2%,,,
Italy,0.59,0.60,0.59,0.62,0.62,0.57,0.55,0.58,0.46,0.45,-3.0%,,,
Latvia,0.38,0.38,0.38,0.41,0.38,0.42,0.43,0.44,0.40,0.25,-4.5%,,,
Lithuania,0.62,0.69,0.64,0.67,0.68,0.67,0.71,0.64,0.61,0.68,1.0%,,,
Luxembourg,0.59,0.57,0.55,0.55,0.51,0.58,0.51,0.48,0.44,0.46,N/A,,,
Malta,0.38,0.54,0.64,0.85,1.05,1.31,0.84,0.77,0.87,0.70,7.0%,,,
Netherlands,0.34,0.33,0.33,0.33,0.33,0.32,0.32,0.30,0.27,0.24,-3.7%,,,
Norway,0.64,0.63,0.67,0.68,0.68,0.69,0.62,0.63,0.55,0.54,-1.8%,,,
Poland,,,0.39,0.37,0.37,0.38,0.31,0.29,0.23,0.23,-6.9%,,,
Portugal,0.44,0.46,0.45,0.47,0.49,0.47,0.49,0.50,0.51,0.55,2.3%,,,
Romania,,,,,,,,0.29,0.19,0.18,N/A,,,
Slovakia,0.71,0.61,0.78,0.68,0.78,0.30,0.31,0.30,0.29,0.27,-10.1%,,,
Slovenia,0.54,0.57,0.57,0.60,0.62,0.63,0.64,0.65,0.58,0.61,1.3%,,,
Spain,,,,,0.63,0.61,0.62,0.57,0.48,0.47,N/A,,,
Sweden,0.78,0.81,0.77,0.84,0.83,0.82,0.99,0.83,0.80,0.80,0.3%,,,
EU/EEA* ,0.62,0.63,0.63,0.65,0.67,0.64,0.62,0.62,0.53,0.54,-1.4%,,,
United Kingdom,,1.04,1.08,1.07,1.09,1.07,1.14,1.16,,,N/A,,,
Crude EU/EEA**,0.35,0.51,0.55,0.56,0.64,0.62,0.61,0.64,0.47,0.49,N/A,,,
