Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,,,,,,,,0.53,0.49,0.49,N/A,,,
Belgium,0.38,0.39,0.38,0.39,0.38,0.37,0.38,0.38,0.33,0.34,-1.1%,,,
Bulgaria,0.81,0.77,0.79,0.74,0.97,0.91,0.91,0.94,1.00,1.21,4.6%,,,
Croatia,0.54,0.49,0.52,0.54,0.50,0.55,0.53,0.56,0.50,0.60,1.2%,,,
Czechia,,,,,,,,,,0.57,N/A,,,
Denmark,0.29,0.35,0.39,0.29,0.26,0.30,0.25,0.23,0.21,0.20,-3.8%,,,
Estonia,0.54,0.54,0.56,0.57,0.55,0.55,0.51,0.51,0.52,0.46,-1.6%,,,
Finland (a),0.91,0.91,0.89,0.89,0.96,0.84,0.99,0.86,0.78,0.77,-1.8%,,,
France,0.28,0.30,0.31,0.32,0.33,0.32,0.33,0.33,0.32,0.33,1.9%,,,
Greece,0.53,0.52,0.50,0.51,0.52,0.50,0.54,0.52,0.54,0.57,0.8%,,,
Hungary,0.29,0.30,0.31,0.33,0.32,0.35,0.37,0.38,0.43,0.41,4.0%,,,
Iceland,,,,,,0.27,0.28,0.25,0.26,0.28,N/A,,,
Ireland,0.14,0.16,0.17,0.18,0.17,0.19,0.20,0.21,0.19,0.21,4.1%,,,
Italy,0.42,0.42,0.41,0.36,0.30,0.39,0.45,0.46,0.45,0.38,-1.2%,,,
Latvia,0.65,0.66,0.66,0.67,0.64,0.64,0.60,0.66,0.68,0.59,-1.0%,,,
Lithuania,0.56,0.62,0.66,0.73,0.74,0.78,0.77,0.83,0.81,0.72,2.7%,,,
Luxembourg,0.63,0.61,0.53,0.53,0.53,0.50,0.41,0.44,0.40,0.40,N/A,,,
Malta,0.24,0.24,0.24,0.23,0.22,0.28,0.30,0.26,0.25,0.20,-2.1%,,,
Netherlands,0.17,0.18,0.19,0.20,0.20,0.21,0.23,0.23,0.23,0.23,3.4%,,,
Norway,0.31,0.30,0.28,0.27,0.26,0.27,0.26,0.25,0.23,0.24,-2.7%,,,
Poland,,,0.35,0.33,0.44,0.64,0.44,0.55,0.53,0.54,6.3%,,,
Portugal,0.40,0.41,0.40,0.40,0.40,0.40,0.39,0.39,0.42,0.47,1.9%,,,
Romania,,,,,,,,0.81,0.64,0.72,N/A,,,
Slovakia,0.53,0.64,0.69,0.74,0.75,0.42,0.50,0.41,0.39,0.47,-1.1%,,,
Slovenia,0.31,0.30,0.30,0.30,0.30,0.31,0.31,0.32,0.29,0.32,0.2%,,,
Spain,,,,,0.43,0.41,0.40,0.40,0.41,0.41,N/A,,,
Sweden,0.18,0.19,0.16,0.16,0.16,0.16,0.17,0.16,0.16,0.16,-0.7%,,,
EU/EEA* ,0.37,0.38,0.38,0.37,0.37,0.38,0.40,0.40,0.39,0.39,0.5%,,,
United Kingdom,,0.14,0.15,0.15,0.15,0.16,0.16,0.16,,,N/A,,,
Crude EU/EEA**,0.21,0.24,0.27,0.26,0.31,0.34,0.33,0.39,0.41,0.43,N/A,,,
,,,,,,,,,,,,,,
