Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,,,,,,,,0.11,0.11,0.11,N/A,,,
Belgium,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,-2.6%,,,
Bulgaria,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.10,0.12,32.7%,,,
Croatia,0.05,0.05,0.05,0.06,0.06,0.08,0.07,0.08,0.09,0.12,9.8%,,,
Czech Republic,,,,,,,,,,0.10,N/A,,,
Denmark,0.04,0.06,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,2.0%,,,
Estonia,0.03,0.03,0.04,0.04,0.06,0.05,0.06,0.07,0.08,0.08,10.5%,,,
Finland (a),0.05,0.06,0.06,0.05,0.07,0.05,0.05,0.04,0.04,0.04,-2.7%,,,
France,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,6.2%,,,
Greece,0.10,0.10,0.10,0.10,0.12,0.12,0.12,0.13,0.14,0.17,6.5%,,,
Hungary,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.07,0.07,10.6%,,,
Iceland,,,,,,0.01,0.03,0.03,0.03,0.04,N/A,,,
Ireland,0.04,0.06,0.07,0.06,0.05,0.05,0.04,0.05,0.04,0.05,1.7%,,,
Italy,0.06,0.06,0.06,0.04,0.03,0.03,0.04,0.05,0.06,0.06,0.6%,,,
Latvia,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.05,0.04,11.4%,,,
Lithuania,0.02,0.02,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,11.1%,,,
Luxembourg,0.07,0.06,0.06,0.06,0.07,0.06,0.05,0.05,0.05,0.05,N/A,,,
Malta,0.04,0.05,0.07,0.07,0.08,0.12,0.09,0.08,0.09,0.08,9.0%,,,
Netherlands,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.3%,,,
Norway,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,-2.9%,,,
Poland,,,0.02,0.01,0.02,0.02,0.03,0.03,0.04,0.04,11.6%,,,
Portugal ,0.11,0.11,0.11,0.10,0.09,0.08,0.08,0.08,0.08,0.09,-2.2%,,,
Romania,,,,,,,,0.07,0.09,0.11,N/A,,,
Slovakia,0.02,0.03,0.03,0.03,0.04,0.04,0.05,0.04,0.05,0.06,12.7%,,,
Slovenia,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.06,-0.6%,,,
Spain,,,,,0.11,0.09,0.09,0.09,0.09,0.10,N/A,,,
Sweden,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.5%,,,
EU/EEA* ,0.04,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.05,0.05,3.3%,,,
United Kingdom,,0.04,0.05,0.05,0.05,0.05,0.04,0.04,,,N/A,,,
Crude EU/EEA**,0.02,0.03,0.04,0.03,0.04,0.04,0.04,0.05,0.06,0.06,N/A,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
