Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,,,,,,,,0.15,0.13,0.11,N/A,,,
Belgium,0.10,0.10,0.10,0.11,0.11,0.11,0.11,0.12,0.11,0.09,-1.0%,,,
Bulgaria,0.13,0.14,0.14,0.11,0.11,0.11,0.13,0.12,0.23,0.13,0.1%,,,
Croatia,0.16,0.15,0.14,0.15,0.15,0.16,0.16,0.18,0.19,0.21,3.0%,,,
Czechia,,,,,,,,,,0.29,N/A,,,
Denmark,0.09,0.09,0.09,0.10,0.11,0.13,0.14,0.14,0.12,0.09,0.6%,,,
Estonia,0.22,0.16,0.18,0.16,0.13,0.16,0.17,0.16,0.17,0.12,-6.9%,,,
Finland (a),0.15,0.14,0.13,0.14,0.13,0.12,0.13,0.13,0.12,0.11,-3.7%,,,
France,0.11,0.10,0.12,0.11,0.11,0.12,0.11,0.13,0.16,0.12,1.5%,,,
Greece,0.17,0.18,0.19,0.18,0.15,0.13,0.14,0.14,0.20,0.08,-7.6%,,,
Hungary,0.12,0.11,0.12,0.13,0.11,0.12,0.12,0.13,0.19,0.15,2.6%,,,
Iceland,,,,,,0.21,0.19,0.15,0.15,0.06,N/A,,,
Ireland,0.26,0.28,0.28,0.27,0.26,0.24,0.24,0.22,0.18,0.15,-6.1%,,,
Italy,0.20,0.19,0.20,0.19,0.18,0.18,0.18,0.20,0.31,0.11,-6.0%,,,
Latvia,0.15,0.15,0.16,0.17,0.13,0.14,0.13,0.14,0.18,0.09,-5.8%,,,
Lithuania,0.06,0.07,0.10,0.06,0.07,0.08,0.08,0.08,0.10,0.06,0.3%,,,
Luxembourg,0.16,0.16,0.15,0.15,0.14,0.15,0.12,0.13,0.13,0.12,N/A,,,
Malta,0.21,0.22,0.25,0.35,0.32,0.33,0.24,0.25,0.24,0.17,-2.6%,,,
Netherlands,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.05,0.04,-6.0%,,,
Norway,0.08,0.08,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,-5.5%,,,
Poland,,,0.08,0.09,0.07,0.09,0.09,0.08,0.11,0.09,0.5%,,,
Portugal,0.16,0.16,0.15,0.16,0.17,0.16,0.16,0.16,0.17,0.16,0.3%,,,
Romania,,,,,,,,0.06,0.17,0.04,N/A,,,
Slovakia,0.10,0.15,0.19,0.15,0.14,0.13,0.14,0.14,0.16,0.16,5.7%,,,
Slovenia,0.12,0.12,0.12,0.14,0.13,0.13,0.13,0.13,0.10,0.10,-1.7%,,,
Spain,,,,,0.12,0.14,0.14,0.14,0.17,0.12,N/A,,,
Sweden,0.06,0.07,0.06,0.07,0.06,0.07,0.06,0.06,0.06,0.05,-1.8%,,,
EU/EEA* ,0.14,0.13,0.14,0.14,0.13,0.13,0.13,0.14,0.18,0.11,-2.3%,,,
United Kingdom,,0.29,0.30,0.31,0.29,0.30,0.31,0.29,,,N/A,,,
Crude EU/EEA**,0.08,0.12,0.13,0.13,0.14,0.14,0.14,0.15,0.17,0.11,N/A,,,
