Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,,,,,,,,0.003,,0.002,N/A,,,
Belgium,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.003,0.002,-2.2%,,,
Bulgaria,,,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.005,33.9%,,,
Croatia,0.010,0.001,0.006,0.006,0.006,0.009,0.009,0.011,0.013,0.026,11.7%,,,
Czech Republic,,,,,,,,,,0.007,N/A,,,
Denmark,0.002,0.003,0.004,0.003,0.004,0.004,0.005,0.004,0.004,,8.7%,,,
Estonia,0.002,0.001,0.002,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.0%,,,
Finland (a),,,,,,0.000,,0.001,0.000,0.000,N/A,,,
France,0.004,0.004,0.004,0.004,0.003,0.001,0.003,0.003,0.003,0.003,-2.8%,,,
Greece,0.031,0.031,0.036,0.037,0.041,0.045,0.048,0.060,0.065,0.079,10.9%,,,
Hungary,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,11.9%,,,
Ireland,0.005,0.005,0.004,0.003,0.002,0.002,0.002,0.002,0.001,0.001,-17.0%,,,
Italy,0.010,0.007,0.011,0.015,0.014,0.019,0.015,0.012,0.014,0.013,3.0%,,,
Latvia,0.001,0.001,0.000,0.000,0.001,0.002,0.001,0.005,0.004,0.009,28.5%,,,
Lithuania,,,,,,,0.000,0.000,,0.001,N/A,,,
Luxembourg,0.002,0.002,0.001,0.004,0.002,0.002,0.003,0.003,0.002,0.001,N/A,,,
Malta,0.001,0.002,0.004,0.006,0.005,0.006,0.023,0.003,0.003,0.005,27.4%,,,
Netherlands,0.002,0.002,0.002,0.003,0.002,0.001,0.001,0.001,0.001,0.001,-5.5%,,,
Norway,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.0%,,,
Poland,,,0.000,0.007,0.011,0.008,0.008,0.008,0.009,0.013,82.3%,,,
Portugal,0.019,0.020,0.019,0.022,0.022,0.023,0.026,0.029,0.034,0.034,6.8%,,,
Romania,,,,,,,,0.012,0.011,0.014,N/A,,,
Slovakia,0.007,0.008,0.008,0.008,0.009,0.012,0.014,0.012,0.011,0.023,15.0%,,,
Slovenia,0.001,0.001,0.002,0.002,0.003,0.002,0.001,0.001,0.001,0.006,19.4%,,,
Spain,,,,,0.063,0.070,0.073,0.081,0.089,0.084,N/A,,,
Sweden,0.001,0.001,0.001,0.001,0.001,0.001,0.000,0.001,0.001,0.001,0.0%,,,
EU/EEA* ,0.007,0.006,0.007,0.009,0.009,0.010,0.009,0.009,0.010,0.011,5.1%,,,
United Kingdom,,0.002,0.002,0.002,0.002,0.002,0.003,0.003,,,N/A,,,
Crude EU/EEA**,0.004,0.004,0.004,0.006,0.013,0.014,0.014,0.015,0.019,0.020,N/A,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
