Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,
Austria,,,,,,,,0.17,0.13,0.12,N/A,,
Belgium,0.23,0.22,0.21,0.21,0.20,0.19,0.17,0.16,0.13,0.13,-6.1%,,
Bulgaria,0.12,0.11,0.14,0.14,0.15,0.14,0.17,0.17,0.33,0.34,12.4%,,
Croatia,0.19,0.19,0.20,0.21,0.21,0.23,0.24,0.24,0.20,0.24,2.5%,,
Czechia,,,,,,,,,,0.12,N/A,,
Denmark,0.19,0.19,0.18,0.17,0.15,0.14,0.13,0.12,0.11,0.10,-6.6%,,
Estonia,0.30,0.19,0.18,0.15,0.14,0.20,0.11,0.13,0.16,0.11,-10.4%,,
Finland (a),0.30,0.29,0.29,0.26,0.25,0.22,0.20,0.15,0.16,0.12,-9.4%,,
France,0.26,0.25,0.24,0.23,0.22,0.19,0.23,0.17,0.16,0.17,-4.4%,,
Greece,0.21,0.18,0.22,0.26,0.21,0.20,0.22,0.20,0.19,0.20,-0.5%,,
Hungary,0.22,0.21,0.21,0.21,0.21,0.21,0.19,0.14,0.14,0.12,-6.7%,,
Iceland,,,,,,0.09,0.08,0.05,0.04,0.05,N/A,,
Ireland,0.11,0.11,0.10,0.11,0.10,0.10,0.10,0.08,0.06,0.05,-8.4%,,
Italy,0.43,0.42,0.40,0.43,0.40,0.39,0.36,0.26,0.21,0.15,-10.8%,,
Latvia,0.30,0.31,0.30,0.27,0.26,0.24,0.26,0.23,0.15,0.11,-10.6%,,
Lithuania,0.37,0.17,0.17,0.28,0.27,0.24,0.18,0.19,0.19,0.12,-11.7%,,
Luxembourg,0.24,0.23,0.21,0.19,0.21,0.19,0.16,0.14,0.12,0.12,N/A,,
Malta,0.21,0.24,0.37,0.47,0.30,0.30,0.33,0.23,0.28,0.16,-2.9%,,
Netherlands,0.11,0.10,0.10,0.10,0.09,0.09,0.08,0.07,0.07,0.06,-7.0%,,
Norway,0.08,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,-9.9%,,
Poland,,,0.15,0.15,0.20,0.17,0.18,0.16,0.15,0.16,1.3%,,
Portugal,0.09,0.16,0.15,0.14,0.13,0.11,0.11,0.10,0.09,0.09,0.0%,,
Romania,,,,,,,,0.20,0.17,0.16,N/A,,
Slovakia,0.25,0.27,0.30,0.31,0.29,0.28,0.27,0.20,0.18,0.19,-2.7%,,
Slovenia,0.21,0.20,0.21,0.22,0.21,0.20,0.19,0.17,0.13,0.13,-5.4%,,
Spain,,,,,0.34,0.30,0.27,0.23,0.19,0.17,N/A,,
Sweden,0.16,0.16,0.16,0.16,0.16,0.15,0.14,0.13,0.13,0.13,-2.1%,,
EU/EEA* ,0.26,0.26,0.25,0.25,0.24,0.22,0.23,0.18,0.16,0.15,-6.2%,,
United Kingdom,,0.09,0.11,0.11,0.11,0.12,0.13,0.13,,,N/A,,
Crude EU/EEA**,0.15,0.16,0.17,0.17,0.21,0.19,0.19,0.17,0.16,0.15,N/A,,
