Country name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Compound annual growth rate (CAGR),,,
Austria,,,,,,,,0.05,0.06,0.05,N/A,,,
Belgium,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-1.4%,,,
Bulgaria,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.02,0.04,0.06,12.1%,,,
Croatia,0.06,0.05,0.04,0.04,0.04,0.04,0.03,0.04,0.03,0.03,-9.2%,,,
Czechia,,,,,,,,,,0.05,N/A,,,
Denmark,0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.06,0.05,0.05,3.6%,,,
Estonia,0.09,0.08,0.06,0.06,0.04,0.04,0.04,0.03,0.04,0.03,-10.1%,,,
Finland (a),0.24,0.22,0.21,0.19,0.18,0.16,0.16,0.18,0.12,0.10,-8.9%,,,
France,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.04,0.05,0.06,22.7%,,,
Greece,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.06,0.08,5.0%,,,
Hungary,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.10,0.06,0.06,8.3%,,,
Iceland,,,,,,0.18,0.14,0.16,0.12,0.03,N/A,,,
Ireland,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,7.6%,,,
Italy,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.03,3.8%,,,
Latvia,0.18,0.12,0.13,0.11,0.10,0.11,0.13,0.10,0.20,0.19,0.8%,,,
Lithuania,0.07,0.07,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.04,-5.5%,,,
Luxembourg,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.02,0.02,N/A,,,
Malta,0.07,0.07,0.13,0.17,0.31,0.17,0.12,0.12,0.15,0.09,3.4%,,,
Netherlands,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,-4.5%,,,
Norway,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.06,0.1%,,,
Poland,,,0.07,0.07,0.00,0.06,0.06,0.06,0.05,0.04,-8.3%,,,
Portugal,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2.5%,,,
Romania,,,,,,,,0.04,0.04,0.05,N/A,,,
Slovakia,0.02,0.03,0.04,0.04,0.04,0.03,0.04,0.04,0.04,0.06,11.4%,,,
Slovenia,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.01,0.02,5.8%,,,
Spain,,,,,0.01,0.01,0.01,0.01,0.02,0.02,N/A,,,
Sweden,0.21,0.19,0.18,0.20,0.18,0.18,0.16,0.15,0.13,0.12,-6.1%,,,
EU/EEA* ,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,3.8%,,,
United Kingdom,,0.21,0.22,0.22,0.23,0.23,0.27,0.31,,,N/A,,,
Crude EU/EEA**,0.02,0.05,0.06,0.06,0.06,0.07,0.07,0.08,0.04,0.04,N/A,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
